"開始時間","結束時間","城市區域","行程類型","地點","詳細內容","交通方式","詳細交通","移動時間","餐飲購物建議","票券優惠","永續綠色旅遊","里山精神","備註"
"12:17","13:17","大阪難波","午餐","新宿焼肉 牛たんの檸檬 大阪本店","享用大阪人氣牛舌燒肉午餐，搭配白飯與湯品","步行","店舖周邊；Google Maps: Gyutan Lemon Osaka Namba","約0分鐘","推薦牛舌定食、厚切牛舌燒；可搭配麥飯","無","選擇品質在地食材的餐廳","感受日本燒肉文化對食材品質的重視","人氣高，可能需等候；確認2026年店舖位置"
"13:17","13:21","大阪難波","交通","牛たんの檸檬 → Bic Camera 難波店","步行即達","步行","Google Maps: Gyutan Lemon to Bic Camera Namba Osaka","約4分鐘","無","無","步行","感受大阪電子商業街區","Bic Camera 難波店為大型家電量販店"
"13:21","14:21","大阪難波","散步購物","Bic Camera 難波店","採購日本家電、相機、電子產品、美妝品、生活用品","步行","店舖內；Google Maps: Bic Camera Namba Osaka","約0分鐘","推薦相機、耳機、美妝品、藥妝；外國旅客可辦免稅（購滿¥5000）","外國旅客免稅優惠","選擇耐用電器或必要用品，避免衝動消費","選購有長期使用價值的商品，減少過度消費","需護照辦理免稅；確認商品可帶回台灣（電壓/規格）"
"14:21","14:25","大阪難波","交通","Bic Camera → 難波丸井","步行即達","步行","Google Maps: Bic Camera Namba to Namba Marui Osaka","約4分鐘","無","無","步行","感受難波商業區的密集性","難波丸井為時尚購物百貨"
"14:25","15:25","大阪難波","散步購物","難波丸井（MARUI）","逛難波丸井，採購日本時尚服飾、雜貨與美妝","步行","店舖內；Google Maps: Namba Marui OIOI Osaka","約0分鐘","推薦時尚服飾、日系雜貨、美妝；各層有不同品牌","外國旅客免稅（需確認樓層與金額條件）","選擇耐用服飾，避免快時尚過度消費","感受日本都市時尚文化","確認外國旅客免稅申請方式"
"15:25","15:31","大阪難波","交通","難波丸井 → 難波CITY 本館","步行即達","步行","Google Maps: Namba Marui to Namba City Osaka","約6分鐘","無","無","步行","感受難波地區購物設施的串連性","難波CITY連接JR難波站"
"15:31","16:31","大阪難波","散步購物","難波CITY 本館","逛難波CITY，採購時尚、餐飲與日本特色商品","步行","店舖內；Google Maps: Namba City Osaka Main Building","約0分鐘","推薦地下美食街、時尚品牌、雜貨","外國旅客免稅優惠（條件確認）","選擇必要採購","感受大阪現代購物中心與傳統街區並存","難波CITY 地下美食街可補充下午點心"
"16:31","16:36","大阪難波","交通","難波CITY → 難波公園","步行即達","步行","Google Maps: Namba City to Namba Parks Osaka","約5分鐘","無","無","步行","感受從購物中心走向綠意公園的空間轉換","難波公園為大阪具代表性的都市綠化購物公園"
"16:36","17:36","大阪難波","散步購物","難波公園（Namba Parks）","逛難波公園，在空中花園採購日本生活雜貨與時尚品牌","步行","難波公園步行；Google Maps: Namba Parks Osaka","約0分鐘","推薦空中庭園露天區域；可在餐廳享用下午茶","外國旅客免稅（部分店鋪）","屋頂綠化公園，感受都市綠意","難波公園的空中花園是都市與自然共存的設計，呼應里山精神","屋頂花園全年開放；落日前可拍攝美麗景觀"
"17:36","18:00","大阪難波→心齋橋","交通","難波公園 → 螃蟹河豚料理 玄品 心齋橋店","步行前往晚餐餐廳","步行","Google Maps: Namba Parks to Genpin Shinsaibashi Osaka","約24分鐘","無","無","步行","感受難波至心齋橋的大阪夜間街道氛圍","玄品心齋橋店通常需預約，行前確認"
"18:00","19:00","大阪心齋橋","晚餐","螃蟹河豚料理 玄品 心齋橋店","享用大阪名物螃蟹與河豚料理，體驗日本高級海鮮套餐","步行","心齋橋周邊；Google Maps: Genpin Fugu Restaurant Shinsaibashi Osaka","約0分鐘","推薦河豚鍋、螃蟹套餐；包含多道料理","無","選擇在地特色高品質海鮮料理，支持日本漁業文化","感受大阪作為海鮮食都的驕傲，玄品使用嚴格管理的食材","強烈建議事先預約；確認2026年菜單與價格"
"19:00","19:05","大阪心齋橋","交通","玄品 → 心齋橋筋商店街","步行即達","步行","Google Maps: Genpin to Shinsaibashi-suji Shopping Street","約5分鐘","無","無","步行","感受大阪夜間購物氛圍","心齋橋筋為大阪著名的有蓋拱廊商店街"
"19:05","20:05","大阪心齋橋","散步購物","心齋橋筋商店街","逛心齋橋筋商店街，採購藥妝、時尚品牌與大阪伴手禮","步行","心齋橋筋步行；Google Maps: Shinsaibashi-suji Shopping Street Osaka","約0分鐘","推薦藥妝：松本清、Sundrug；連鎖品牌：UNIQLO、GU；高級品牌區亦可逛","外國旅客免稅（條件確認）","選擇必要購買，避免過度採購","感受大阪最具代表性商業拱廊的在地零售文化","夜間人潮多，注意隨身物品"
"20:05","20:09","大阪心齋橋","交通","心齋橋筋 → 道頓堀","步行即達","步行","Google Maps: Shinsaibashi-suji to Dotonbori Osaka","約4分鐘","無","無","步行","感受大阪夜間最熱鬧的地帶","道頓堀夜間燈光最為壯觀"
"20:09","21:09","大阪道頓堀","散步購物","道頓堀","夜間再訪道頓堀，感受霓虹燈光與大阪夜間活力","步行","道頓堀步行範圍；Google Maps: Dotonbori Osaka at night","約0分鐘","可嘗試夜間限定小食；推薦金龍拉麵、章魚燒、大阪燒","無","步行遊覽","感受大阪庶民飲食文化在夜間的最熱鬧面貌","注意戎橋擁擠；保管好隨身物品"
"21:09","21:22","大阪心齋橋","交通","道頓堀 → 心齋橋維亞酒店","步行返回飯店","步行","Google Maps: Dotonbori to Via Inn Shinsaibashi Osaka","約13分鐘","無","無","步行","結束充實的難波購物一日行","明日梅田行，建議整理今日採購物品"
"21:22","22:22","大阪心齋橋","住宿","心齋橋維亞酒店－JR 西日本集團","返回飯店休息，整理採購物品，確認明日梅田行程","步行","飯店內","約0分鐘","無","無","無","在都市飯店中整理旅行收穫","明日梅田行程以購物為主，可稍晚出發"
