"開始時間","結束時間","城市區域","行程類型","地點","詳細內容","交通方式","詳細交通","移動時間","餐飲購物建議","票券優惠","永續綠色旅遊","里山精神","備註"
"14:12","14:15","京都東山","交通","一年坂 → 石塀小路","步行即達","步行","Google Maps: Ichinenzaka to Ishibei-koji Lane Kyoto","約3分鐘","無","無","步行","感受石塀小路窄巷的京都傳統氛圍","石塀小路為私人小道，請勿拍攝居民"
"14:15","14:45","京都東山","散步購物","石塀小路","漫步石塀小路窄巷，感受京都最具氛圍的料亭與傳統旅館街道","步行","石塀小路範圍步行；Google Maps: Ishibei-koji Lane Kyoto","約0分鐘","周邊有高級甜點、懷石料理店可外帶","無","步行為主，不打擾周邊住戶","感受傳統京町家巷弄所保存的靜謐生活文化","石塀小路非公共道路，勿大聲喧嘩或私闖住家"
"14:45","14:52","京都東山","交通","石塀小路 → 京都八坂神社","步行至八坂神社","步行","Google Maps: Ishibei-koji to Yasaka Shrine Kyoto","約7分鐘","無","無","步行","感受從安靜小徑進入熱鬧祭祀空間的轉換","祇園祭（7月）前後八坂神社會有活動，6月下旬可留意"
"14:52","15:52","京都祇園","古蹟文化","京都八坂神社","參拜八坂神社，感受祇園地區的神社信仰氛圍","步行","八坂神社境內步行；Google Maps: Yasaka Shrine Kyoto","約0分鐘","神社境內有甜酒（甘酒）可購買","參拜免費","尊重神社境內環境","感受城市神社如何連結居民信仰與地方節慶","境內保持安靜，注意拍攝禮儀"
"15:52","16:00","京都祇園","交通","八坂神社 → 花見小路通","步行前往花見小路","步行","Google Maps: Yasaka Shrine to Hanamikoji Street Gion","約8分鐘","無","無","步行","感受從神社進入藝妓文化街區的氛圍轉換","花見小路禁止拍攝私有建物，請遵守告示"
"16:00","16:30","京都祇園","古蹟文化","花見小路通","漫步花見小路，欣賞茶屋與料亭林立的祇園傳統街景","步行","花見小路步行；Google Maps: Hanamikoji Dori Gion Kyoto","約0分鐘","可在周邊咖啡或甜點店稍作休息","無","步行","感受京都傳統藝妓文化街區的靜謐氛圍","嚴禁拍攝藝妓；禁止在街道上大聲喧嘩或飲食"
"16:30","16:41","京都祇園→鴨川","交通","花見小路 → 鴨川納涼床","步行前往鴨川","步行","Google Maps: Hanamikoji to Kamogawa Noryo-yuka Kyoto","約11分鐘","無","無","步行","感受從祇園巷弄走向鴨川的開闊地景","6月中旬起鴨川納涼床開放，確認當年開放日期"
"16:41","16:51","京都鴨川","體驗","鴨川納涼床","在鴨川河畔的納涼床區感受京都初夏特有的鴨川文化，欣賞河岸風景","步行","鴨川河畔步行；Google Maps: Kamogawa Noryo-yuka Kyoto","約0分鐘","周邊多間料亭、咖啡店設有河畔露天席；可在河岸步道休憩","納涼床用餐多需事先預訂","步行至鴨川，減少交通碳排","感受京都夏日人與河川共存的傳統納涼文化，體驗里山精神中人與水的關係","納涼床用餐通常需提前預訂；若未訂位可在河岸步道欣賞"
"16:51","16:55","京都鴨川周邊","交通","鴨川納涼床 → iroha 北店","步行至 iroha 北店","步行","Google Maps: Kamogawa to iroha Kita-ten Kyoto","約4分鐘","無","無","步行","感受從河畔進入街區購物的節奏","出發前確認 iroha 北店確切位置與營業時間"
"16:55","17:55","京都","散步購物","iroha 北店","在 iroha 北店購物，挖掘日本古著、雜貨或特色商品","步行","店舖周邊；Google Maps: iroha Kita Kyoto","約0分鐘","依店內商品選購耐用有質感的物品","無","選擇二手或耐用品，減少一次性消費","支持在地特色小店，實踐可持續消費","確認營業時間與商品類型"
"17:55","18:01","京都","交通","iroha 北店 → 四条河原町","步行前往四条河原町","步行","Google Maps: iroha Kita to Shijo Kawaramachi Kyoto","約6分鐘","無","無","步行","感受從特色小店走向商業街區的城市脈絡","四条河原町為京都最熱鬧的商業街區"
"18:01","19:01","京都","散步購物","四条河原町","逛四条河原町商業街區，可逛高島屋、大丸、藥妝店等","步行","四条河原町範圍步行；Google Maps: Shijo Kawaramachi Kyoto","約0分鐘","推薦大丸、高島屋、ドン・キホーテ、藥妝店；可補充藥品或日用品","無","選擇必要採購，避免衝動消費","感受京都現代商業空間與傳統街區並存的城市面貌","晚餐前採購，留意行李重量"
"19:01","19:07","京都","交通","四条河原町 → 新京極商店街","步行即達","步行","Google Maps: Shijo Kawaramachi to Shinkyogoku Shopping Street","約6分鐘","無","無","步行","感受商店街步行動線","新京極緊鄰四条河原町，步行可達"
"19:07","20:07","京都","散步購物","新京極商店街","逛新京極商店街，購買京都紀念品、小吃與特色商品","步行","新京極商店街步行；Google Maps: Shinkyogoku Shopping Street Kyoto","約0分鐘","推薦八ツ橋、漬物、和菓子、文具；可在街道小店購買京都伴手禮","無","選擇在地特產，減少連鎖品牌消費","感受京都傳統商店街如何維持在地商業活力","晚餐可在商店街周邊尋覓","
"20:07","20:12","京都","交通","新京極 → 寺町京極商店街","步行即達相鄰商店街","步行","Google Maps: Shinkyogoku to Teramachi Kyogoku Shopping Street","約5分鐘","無","無","步行","感受兩條商店街並行的京都商業空間","寺町京極與新京極平行，步行可達"
"20:12","21:12","京都","散步購物","寺町京極商店街","逛寺町京極商店街，購買藥品、電子產品、日常雜貨","步行","寺町京極步行；Google Maps: Teramachi Kyogoku Shopping Street Kyoto","約0分鐘","推薦藥妝店、文具、食品；可補充旅途日用品","無","選擇必要採購","感受在地傳統商店街文化","部分店舖21:00關門，注意時間"
"21:12","21:29","京都→五條","交通","四条河原町周邊 → 維瑟爾坎帕納京都五條飯店","搭乘京阪或步行返回五條飯店","京阪電車或步行","祇園四条站（京阪）搭往宇治/淀方向至五条站；步行約15分鐘；Google Maps: Gion-Shijo Station to Gojo Keihan Station","約17分鐘","無","ICOCA","短距大眾運輸或步行","結束東山文化巡禮與河原町購物豐盛一日行","注意末班京阪時刻；步行亦可"
"21:29","22:29","京都五條","住宿","維瑟爾坎帕納京都五條飯店","返回飯店休息，整理今日採購，確認明日京都水族館行程","步行","飯店內","約0分鐘","無","無","減少一次性備品使用","在安靜夜晚整理今日文化街區與河川體驗的感受","明日為最後一天京都，下午移至大阪"
